,Company,Company_old_name,KW Group,group_total,Branded %,Non-Branded %,variable order
0,EVOQUA,evoqua,#1-3,949,0.279241307,0.720758693,0
1,EVOQUA,evoqua,#4-10,1311,0.035850496,0.964149504,1
2,EVOQUA,evoqua,#11-100,16116,0.02730206,0.97269794,2
0,WESTECH,westech,#1-3,221,0.438914027,0.561085973,0
1,WESTECH,westech,#4-10,255,0.109803922,0.890196078,1
2,WESTECH,westech,#11-100,3232,0.026299505,0.973700495,2
0,Thermal Engineering of Arizona,teatucson,#1-3,10,0,1,0
1,Thermal Engineering of Arizona,teatucson,#4-10,3,0.333333333,0.666666667,1
2,Thermal Engineering of Arizona,teatucson,#11-100,41,0.268292683,0.731707317,2
0,Norchem Industries,norchem,#1-3,1,1,0,0
1,Norchem Industries,norchem,#4-10,6,0.333333333,0.666666667,1
2,Norchem Industries,norchem,#11-100,25,0.08,0.92,2
0,NIJHUIS,nijhuis,#1-3,16,0.75,0.25,0
1,NIJHUIS,nijhuis,#4-10,37,0,1,1
2,NIJHUIS,nijhuis,#11-100,421,0.002375297,0.997624703,2
0,KEMCO,kemcosystems,#1-3,46,0.608695652,0.391304348,0
1,KEMCO,kemcosystems,#4-10,43,0.325581395,0.674418605,1
2,KEMCO,kemcosystems,#11-100,872,0.032110092,0.967889908,2
0,IWWS,iwwsllc,#1-3,5,1,0,0
1,IWWS,iwwsllc,#4-10,7,0,1,1
2,IWWS,iwwsllc,#11-100,59,0.016949153,0.983050847,2
0,World Water Works,worldwaterworks,#1-3,25,0.84,0.16,0
1,World Water Works,worldwaterworks,#4-10,61,0.278688525,0.721311475,1
2,World Water Works,worldwaterworks,#11-100,476,0.460084034,0.539915966,2
0,Ellis Corporation,elliscorp,#1-3,43,0.534883721,0.465116279,0
1,Ellis Corporation,elliscorp,#4-10,51,0.470588235,0.529411765,1
2,Ellis Corporation,elliscorp,#11-100,628,0.211783439,0.788216561,2
